LK,LKNR,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,08.11.2021,09.11.2021,10.11.2021,11.11.2021,12.11.2021,13.11.2021,14.11.2021,15.11.2021,16.11.2021,17.11.2021,18.11.2021,19.11.2021,20.11.2021,21.11.2021,22.11.2021,23.11.2021,24.11.2021,25.11.2021,26.11.2021,27.11.2021,28.11.2021,29.11.2021,30.11.2021,01.12.2021,02.12.2021,03.12.2021,04.12.2021,05.12.2021,06.12.2021,07.12.2021,08.12.2021,09.12.2021,10.12.2021,11.12.2021,12.12.2021,13.12.2021,14.12.2021,15.12.2021,16.12.2021,17.12.2021,18.12.2021,19.12.2021,20.12.2021,21.12.2021,22.12.2021,23.12.2021,24.12.2021,25.12.2021,26.12.2021,27.12.2021,28.12.2021,29.12.2021,30.12.2021,31.12.2021,01.01.2022,02.01.2022,03.01.2022,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022,11.01.2022,12.01.2022,13.01.2022,14.01.2022,15.01.2022,16.01.2022,17.01.2022,18.01.2022,19.01.2022,20.01.2022,21.01.2022,22.01.2022,23.01.2022,24.01.2022,25.01.2022,26.01.2022,27.01.2022,28.01.2022,29.01.2022,30.01.2022,31.01.2022,01.02.2022,02.02.2022,03.02.2022,04.02.2022,05.02.2022,06.02.2022,07.02.2022,08.02.2022,09.02.2022,10.02.2022,11.02.2022,12.02.2022,13.02.2022,14.02.2022,15.02.2022,16.02.2022,17.02.2022,18.02.2022,19.02.2022,20.02.2022,21.02.2022,22.02.2022,23.02.2022,24.02.2022,25.02.2022,26.02.2022,27.02.2022,28.02.2022,01.03.2022,02.03.2022,03.03.2022,04.03.2022,05.03.2022,06.03.2022,07.03.2022,08.03.2022,09.03.2022,10.03.2022,11.03.2022,12.03.2022,13.03.2022,14.03.2022,15.03.2022,16.03.2022,17.03.2022,18.03.2022,19.03.2022,20.03.2022,21.03.2022,22.03.2022,23.03.2022,24.03.2022,25.03.2022,26.03.2022,27.03.2022,28.03.2022
SK Freiburg i.Breisgau,8311,83.1,75.8,85.7,80.1,86.2,81.4,89.2,87.5,94.4,97.0,87.5,77.5,84.9,77.1,75.3,73.6,76.2,71.0,62.8,74.0,64.1,66.3,73.6,77.1,71.0,68.4,74.5,65.4,86.2,89.6,87.9,86.2,77.9,75.3,66.7,64.5,72.3,74.0,71.0,86.2,76.2,120.4,133.8,149.4,161.1,155.9,162.8,168.9,168.9,158.9,169.3,172.8,168.4,123.8,146.4,156.3,154.2,158.0,170.2,181.9,219.5,239.9,258.1,249.4,275.8,293.1,281.0,275.0,300.9,313.5,301.4,297.5,316.5,312.2,338.2,339.9,343.8,370.2,383.2,401.0,391.4,384.1,411.4,423.9,424.8,413.5,427.8,394.0,404.4,404.4,398.4,393.2,386.2,386.2,371.5,359.8,329.5,309.6,290.1,288.8,270.2,257.6,228.6,230.8,249.0,240.3,200.1,220.8,234.3,232.5,223.4,222.1,245.1,236.4,243.4,234.7,293.6,361.6,372.8,406.2,471.1,517.9,508.8,491.5,572.9,612.3,706.7,681.6,743.1,744.8,763.8,791.5,909.3,922.8,944.8,1054.4,1129.3,917.6,1142.7,1285.2,1412.9,1548.5,1561.0,1514.2,1529.8,1609.5,1664.5,1633.8,1710.4,1676.2,1587.4,1400.8,1647.2,1636.8,1739.0,1689.2,1691.8,1619.9,1562.3,1556.7,1526.8,1433.7,1455.4,1408.2,1333.7,1307.3,1250.1,1196.8,1153.1,1102.9,1093.4,992.5,979.0,1000.7,1050.5,1130.2,1214.6,1174.8,1090.8,1330.6,1463.6,1552.8,1694.4,1712.1,1775.8,1692.6,1700.0,1793.5,1910.0,1932.5,1948.1,1963.3,1864.6,1838.1,1833.4,1891.4,1808.7,1538.9,1371.8
SK Fuerth,9563,89.7,95.1,99.0,97.5,88.9,98.3,102.2,93.6,102.9,106.1,99.0,97.5,92.8,95.9,81.1,98.3,99.0,102.9,125.6,139.6,132.6,143.5,137.3,140.4,134.9,117.0,107.6,106.1,85.8,102.9,103.7,103.7,99.0,110.7,112.3,106.8,121.7,131.0,124.8,132.6,131.0,134.9,135.7,138.0,147.4,145.8,152.9,163.0,199.7,205.1,220.7,232.4,234.0,202.8,193.4,198.9,243.3,255.8,267.5,297.9,340.8,359.5,374.3,475.0,497.6,535.0,513.2,520.2,545.1,518.6,565.4,558.4,590.4,577.1,632.5,622.4,629.4,615.3,637.2,600.5,584.9,547.5,528.8,488.2,455.5,432.1,412.6,412.6,383.7,409.4,378.2,374.3,361.1,366.5,362.6,363.4,348.6,342.4,332.2,322.1,321.3,319.0,303.4,273.0,258.9,262.0,227.7,224.6,223.0,188.7,188.0,172.4,138.8,143.5,148.2,152.1,155.2,154.4,188.7,214.5,261.3,293.2,297.1,298.7,304.9,375.9,408.7,455.5,482.0,542.0,563.1,708.9,768.2,867.2,800.2,1030.2,1102.8,1219.0,1313.3,1443.6,1660.4,1801.5,1845.2,1863.2,1910.0,2098.7,2193.8,2099.5,1975.5,1980.1,1956.7,1920.9,1896.7,1893.6,1954.4,1956.7,1948.2,1853.8,1851.5,1895.9,1872.5,1778.9,1712.6,1712.6,1754.0,1693.9,1580.8,1424.9,1357.0,1410.0,1494.3,1456.8,1426.4,1431.1,1490.4,1405.4,1327.4,1289.9,1347.7,1132.4,1400.7,1529.4,1623.7,1842.9,1858.5,1922.4,1867.8,1798.4,2061.3,2169.7,1972.3,2023.0,1989.5,1807.8,1760.2,1775.0,1999.6,2217.2,2328.0
SK Gelsenkirchen,5513,140.1,139.3,137.8,140.5,131.2,120.8,102.3,89.2,85.3,83.4,78.0,67.2,68.7,69.9,71.8,69.9,68.7,80.3,83.7,93.0,94.6,84.5,77.2,76.8,76.4,76.0,68.3,70.6,66.0,65.6,63.3,64.8,65.6,69.5,68.7,67.9,61.4,61.0,70.6,69.5,74.5,76.4,73.3,67.5,66.0,79.1,76.8,95.7,108.1,112.3,108.8,107.3,91.1,94.6,93.4,91.1,92.2,87.6,86.1,147.0,173.7,156.3,149.7,147.4,137.4,132.0,169.4,181.8,184.1,204.2,228.5,210.7,204.9,254.0,269.4,291.8,291.0,294.1,258.6,252.8,301.4,301.8,300.7,283.7,292.5,337.7,335.4,332.7,312.6,329.2,281.7,280.6,235.8,220.8,274.4,255.5,230.0,211.9,192.2,157.5,153.6,177.1,185.6,188.7,186.4,158.6,144.3,138.2,160.6,155.9,147.8,148.2,135.1,134.7,127.4,158.6,164.0,186.0,223.1,260.9,252.8,247.8,302.2,323.4,377.1,441.1,479.0,454.3,448.1,564.6,625.2,781.2,883.0,978.4,905.0,895.0,1099.2,1179.8,1201.8,1278.6,1280.6,1186.4,1091.1,1450.4,1539.5,1585.5,1602.1,1496.3,1315.3,1206.1,1445.0,1479.7,1405.2,1346.6,1245.1,1017.7,965.6,1140.9,1122.7,1157.1,1170.2,1187.9,1072.2,1032.8,1110.4,967.9,871.1,867.2,839.8,759.9,693.2,760.7,761.1,724.4,734.1,733.7,681.6,643.0,770.3,799.3,822.8,825.5,790.0,717.5,702.8,783.5,890.0,1009.6,1079.1,1019.3,978.4,900.8,1001.1,999.2,1059.4,1069.5,1104.2,1065.2,1030.5
SK Gera,16052,65.1,65.1,65.1,57.5,58.6,54.3,63.0,61.9,61.9,61.9,55.4,56.4,57.5,61.9,58.6,58.6,58.6,76.0,72.7,87.9,77.1,71.6,71.6,71.6,74.9,73.8,84.7,83.6,91.2,91.2,91.2,90.1,109.6,77.1,122.7,125.9,125.9,125.9,136.8,136.8,167.2,179.1,178.0,178.0,178.0,233.4,224.7,245.3,242.1,269.2,269.2,269.2,283.3,325.6,359.3,397.3,392.9,392.9,392.9,398.4,398.4,420.1,387.5,426.6,426.6,426.6,445.0,444.0,490.6,536.2,549.2,549.2,549.2,692.5,729.4,779.4,765.3,889.0,1005.1,1005.1,882.5,885.7,885.7,954.1,864.0,860.8,860.8,909.6,895.5,936.8,914.0,962.8,983.4,983.4,932.4,950.9,916.1,899.9,882.5,855.4,855.4,836.9,797.8,745.7,686.0,597.0,528.6,528.6,437.4,415.7,361.5,332.2,314.8,275.7,275.7,280.1,320.2,255.1,244.2,235.5,265.9,265.9,260.5,219.3,192.1,171.5,191.0,181.3,181.3,181.3,183.4,208.4,212.8,223.6,230.1,230.1,244.2,246.4,264.9,298.5,309.4,370.1,370.1,408.1,463.5,577.5,657.8,712.1,781.5,781.5,909.6,919.4,1050.7,1122.4,1230.9,1228.8,1228.8,1228.8,1258.1,1237.4,1250.5,1141.9,1184.2,1184.2,1197.3,1202.7,1149.5,1331.9,1213.6,1445.8,1445.8,1408.9,1455.6,1420.9,1436.1,1511.0,1540.3,1540.3,1639.1,1632.5,1836.6,1919.1,2023.3,2174.2,2174.2,2207.8,2324.0,2316.4,2351.1,2507.4,2126.4,2126.4,2392.4,2551.9,2522.6,2723.4,2504.2,2504.2,2504.2
SK Hagen,5914,126.7,141.0,125.1,120.8,129.8,133.0,133.0,120.3,117.7,121.4,117.1,108.1,114.5,112.4,120.3,123.5,129.3,129.8,135.7,141.0,145.2,137.8,137.8,130.4,143.1,144.7,143.1,135.7,148.4,143.6,147.3,135.1,143.1,139.9,132.0,119.2,119.8,116.1,112.4,111.3,103.9,106.0,101.8,105.5,98.0,102.3,109.7,131.4,131.4,137.3,134.1,136.2,127.2,113.4,96.5,111.3,117.1,121.4,121.4,124.5,157.4,166.4,176.0,180.2,185.5,187.1,180.7,185.5,199.3,217.3,250.7,231.6,236.9,270.3,288.8,313.2,316.9,325.9,319.6,316.9,314.8,291.0,247.0,240.1,239.0,305.3,346.6,364.6,391.1,453.7,436.7,430.9,365.2,302.1,312.2,310.0,292.5,297.8,260.2,249.6,261.8,253.9,241.1,245.4,225.8,221.5,213.1,197.2,166.9,168.0,142.6,145.2,138.9,145.7,146.8,136.2,173.8,215.7,223.7,256.0,274.5,278.8,276.1,318.5,340.2,362.5,417.6,435.1,422.9,532.6,618.5,613.7,721.8,798.1,917.9,979.4,1003.2,1091.2,1192.5,1248.6,1260.8,1341.9,1366.8,1358.9,1392.8,1487.6,1573.0,1746.3,1721.4,1774.4,1913.2,1989.5,1987.9,1902.1,1763.2,1801.9,1655.7,1535.9,1515.7,1544.9,1557.1,1542.8,1589.4,1582.0,1500.9,1316.5,1215.2,1099.7,984.2,883.5,883.5,814.6,789.1,783.3,761.0,768.5,777.5,778.0,805.0,827.8,848.0,863.3,934.4,943.9,943.9,951.3,959.3,1000.6,1018.6,1017.6,1004.3,1004.3,1035.6,1058.4,1121.4,1187.2,1282.0,1304.8,1304.8
SK Halle,15002,43.7,46.2,47.1,46.7,46.2,49.6,54.2,50.4,55.1,53.0,52.6,47.1,44.1,46.2,45.4,36.2,34.9,34.9,32.8,26.1,22.3,20.2,13.9,17.2,17.7,16.0,18.5,21.0,23.5,30.3,29.4,28.6,40.4,37.8,40.8,43.3,40.8,41.6,43.7,36.2,36.6,38.7,43.7,53.8,58.9,58.4,67.7,77.8,87.9,93.3,98.4,101.3,104.3,128.6,144.6,150.5,148.8,156.8,169.0,166.9,173.6,211.5,232.5,280.4,302.7,327.5,354.8,372.9,401.9,425.5,452.4,489.8,514.6,534.8,588.6,602.0,632.7,672.2,677.7,682.3,687.8,689.0,696.2,714.7,731.1,753.4,775.7,805.9,783.2,777.8,789.5,739.9,731.1,692.4,698.3,731.1,788.3,744.1,760.1,739.5,715.1,655.4,588.1,508.7,464.5,408.6,375.4,360.7,346.0,344.7,302.3,327.5,328.3,322.9,320.8,314.5,320.8,335.9,327.9,316.6,297.2,314.5,325.4,329.2,332.5,331.3,353.6,380.0,387.2,388.9,395.6,456.6,502.0,569.2,643.6,657.5,692.4,787.0,863.5,980.4,1014.4,1067.4,1198.2,1203.6,1192.7,1283.1,1267.9,1433.6,1450.8,1480.7,1503.0,1571.5,1531.5,1621.5,1497.5,1626.6,1625.7,1635.0,1571.9,1584.5,1515.6,1439.9,1317.6,1294.9,1301.6,1313.4,1363.4,1419.3,1516.4,1479.4,1492.4,1466.0,1479.4,1457.1,1452.9,1368.8,1477.3,1487.0,1550.9,1555.5,1624.5,1757.3,1833.8,1855.7,1944.4,1984.7,2073.9,2145.8,2012.1,2169.3,2277.8,2223.1,2223.5,2319.8,2310.6,2342.5,2231.5,2121.8,2067.6
SK Hamburg,2000,77.8,76.0,75.4,70.7,64.3,65.5,64.1,60.2,60.4,60.6,57.5,52.6,50.1,52.4,52.0,54.2,56.6,54.1,54.2,51.6,58.4,68.7,63.1,64.2,68.1,61.0,57.4,56.0,54.9,55.2,51.7,50.8,50.4,51.2,51.2,52.2,57.9,59.4,58.8,61.6,70.3,79.1,86.4,92.2,100.5,97.1,89.4,92.4,96.7,100.4,100.7,108.2,115.2,108.7,107.4,117.8,125.5,130.0,133.4,138.6,131.3,135.0,136.5,142.7,160.2,167.0,164.5,151.5,158.8,159.5,157.5,183.5,195.0,196.8,186.9,185.4,200.4,210.7,221.8,227.9,213.5,204.2,195.7,203.2,204.3,213.2,224.5,217.9,211.1,194.2,207.6,216.7,225.9,231.6,231.6,228.6,236.0,242.7,268.4,287.3,288.2,280.1,297.5,307.1,305.4,310.4,318.4,326.3,272.4,266.6,271.9,304.1,347.4,360.4,397.2,390.2,390.8,409.8,444.1,497.1,575.2,560.9,581.1,568.9,576.3,665.0,737.7,831.5,805.8,900.1,994.6,1083.6,1221.9,1394.7,1552.9,1535.9,1547.4,1250.3,1616.2,1673.4,1747.2,1891.4,1780.3,1598.4,1511.1,1485.6,1474.4,1437.4,1570.9,1526.3,1405.4,1299.0,1226.8,1205.6,1210.9,1292.5,1232.6,1085.4,1013.1,980.2,897.7,878.0,954.6,945.8,800.3,701.6,670.3,635.9,583.9,598.7,618.3,548.2,496.7,483.4,539.1,545.9,611.0,619.4,596.0,587.7,604.6,643.6,695.0,770.5,779.0,754.3,827.5,843.8,924.4,981.3,1102.3,1116.8,988.1,969.0,1021.3,1078.7,1151.7,1237.5,1268.8
SK Hamm,5915,102.8,101.1,106.7,103.4,96.1,98.3,81.6,91.1,87.2,77.7,71.0,76.6,79.3,77.1,72.1,71.0,66.5,59.2,48.1,48.6,44.1,44.1,45.3,48.1,43.0,45.3,40.8,42.5,41.3,47.5,53.1,50.3,50.8,50.8,48.6,53.6,53.6,49.2,45.8,43.0,43.6,48.1,43.0,44.7,41.3,54.8,57.0,72.1,72.1,77.1,85.5,80.5,72.1,70.4,63.7,81.0,79.9,88.8,83.8,102.3,109.5,120.7,120.7,111.2,125.7,116.8,136.3,145.3,179.9,190.0,200.0,211.8,199.5,239.7,233.6,247.5,263.2,256.5,266.5,241.9,260.4,248.1,243.6,265.4,276.0,309.6,291.1,314.0,301.7,307.3,281.6,283.9,270.4,250.9,253.7,233.0,238.6,239.2,225.2,225.2,211.8,220.7,197.8,185.0,179.9,184.4,152.5,126.3,137.5,123.5,141.9,134.1,134.1,125.7,110.1,153.1,163.2,192.8,206.2,224.6,223.5,192.8,272.7,277.7,347.0,388.3,468.2,522.4,493.4,553.7,563.8,662.1,731.4,771.7,833.1,788.4,926.4,1084.6,1101.9,1242.7,1419.3,1495.8,1435.5,1606.4,1442.7,1387.4,1090.7,1574.0,1809.3,1691.4,1495.2,1983.0,1888.1,1719.9,1493.0,1736.1,1643.3,1598.1,1559.5,1542.7,1353.3,1339.4,1260.6,1209.7,1295.8,1279.6,1211.4,1197.4,1148.8,1180.1,1148.8,1132.6,1118.6,1060.0,1039.9,1038.2,998.5,972.2,1070.0,1047.1,1079.0,1225.9,1181.2,1272.3,1239.3,1306.4,1368.4,1322.6,1495.2,1483.0,1537.7,1504.7,1657.8,1551.1,1489.1,1502.5,1464.5,1442.7,1345.5
SK Heidelberg,8221,69.3,58.6,64.3,75.6,75.0,77.5,81.3,85.0,78.1,73.7,73.1,57.3,51.0,42.2,32.1,27.7,29.0,27.7,28.3,25.2,23.3,27.1,28.3,26.5,25.8,23.3,27.7,30.9,32.1,35.9,37.8,39.1,38.4,32.8,36.5,30.9,32.8,35.3,37.8,46.0,56.1,60.5,72.4,73.7,86.9,85.0,82.5,92.0,98.9,97.0,95.1,100.2,103.9,97.6,91.3,100.8,110.9,116.5,111.5,126.6,150.6,165.7,175.1,182.1,192.1,216.7,208.5,212.9,221.7,233.7,240.6,229.3,239.4,255.1,245.1,239.4,233.1,244.4,240.0,236.9,231.8,255.8,259.5,289.8,308.0,330.1,320.6,341.4,325.1,328.2,284.1,282.2,286.0,309.9,295.4,277.2,253.9,297.3,258.9,256.4,245.1,236.2,233.1,230.6,188.4,202.2,187.1,192.8,189.6,194.7,205.4,202.8,234.3,212.3,223.0,229.3,271.5,322.5,317.5,362.9,357.2,394.4,460.5,494.5,465.5,580.2,576.4,577.0,540.5,471.8,426.5,381.1,286.0,355.9,342.1,490.7,567.0,589.0,694.2,789.3,754.7,734.5,682.9,688.5,723.2,721.3,722.6,805.1,836.6,890.8,859.3,961.9,925.4,1013.0,1150.9,1088.6,1242.3,1345.6,1368.3,1486.7,1502.4,1566.7,1515.7,1505.0,1631.6,1680.1,1667.5,1685.1,1644.8,1637.9,1682.0,1722.9,1654.9,1657.4,1667.5,1724.8,1825.6,1854.6,1673.8,1629.7,1664.3,1690.2,1610.8,1629.7,1666.2,1609.5,1700.9,1713.5,1659.9,1614.6,1488.6,1469.7,1598.2,1499.9,1379.6,1356.9,1414.9,1293.3,1189.4
SK Heilbronn,8121,137.6,109.9,160.5,159.7,160.5,162.9,159.7,155.8,131.3,127.3,117.0,111.5,107.5,101.2,97.3,109.1,109.1,106.0,113.9,126.5,133.6,146.3,157.4,162.9,158.9,161.3,155.0,163.7,153.4,147.1,143.9,138.4,133.6,120.2,127.3,117.8,125.7,133.6,134.4,138.4,147.9,164.5,179.5,192.2,199.3,196.9,199.3,211.1,220.6,234.9,242.0,264.9,272.8,227.0,209.6,217.5,279.9,356.6,361.4,364.5,396.2,473.7,493.4,497.4,498.2,514.8,510.1,491.1,489.5,492.7,490.3,559.1,586.8,589.9,586.0,597.0,595.5,578.8,574.9,570.9,546.4,565.4,589.1,639.7,691.1,735.4,721.2,754.4,741.0,700.6,661.1,589.9,549.6,536.1,522.7,462.6,448.4,441.3,434.1,434.9,430.2,410.4,373.2,400.9,367.7,370.1,284.7,282.3,269.7,257.8,256.2,267.3,276.8,295.0,297.3,283.1,278.4,215.1,291.0,250.7,293.4,321.8,327.4,364.5,298.1,476.0,545.6,580.4,591.5,562.2,561.5,663.5,767.8,843.8,966.3,1023.3,990.1,995.6,1105.5,1204.4,1329.3,1374.4,1474.8,1354.6,1356.2,1307.9,1315.1,1436.8,1555.5,1667.0,1625.8,1623.5,1659.0,1698.6,1696.2,1646.4,1706.5,1598.9,1453.4,1452.7,1447.1,1419.4,1508.0,1564.9,1457.4,1387.8,1455.8,1319.0,1361.7,1326.9,1330.1,1185.4,1126.9,1125.3,1136.3,1154.5,1253.4,1293.7,1249.4,1250.2,1384.6,1610.8,1678.8,1821.2,1898.7,1770.5,1734.2,1740.5,1689.1,1688.3,1729.4,1773.7,1689.1,1534.9,1547.5,1685.9,1674.9,1480.3,1451.9
SK Herne,5916,103.9,112.1,112.1,107.7,99.4,99.4,97.5,82.8,81.6,81.6,72.6,61.8,49.1,47.8,39.5,30.6,30.6,56.7,61.8,63.1,60.5,52.2,52.2,52.2,47.8,47.8,41.4,45.9,43.3,37.6,37.6,45.2,37.6,38.9,35.7,31.9,37.6,37.6,36.3,45.9,49.1,56.7,63.1,66.9,66.3,69.5,82.2,97.5,96.9,94.9,105.8,105.8,94.9,79.6,79.6,96.9,102.6,102.6,102.6,103.2,120.4,135.1,144.0,149.1,167.6,167.6,170.8,180.3,182.2,185.4,234.5,238.3,237.0,270.8,270.8,299.5,310.9,291.2,261.2,260.0,299.5,296.3,264.4,274.6,319.9,330.1,330.1,321.8,320.5,368.9,387.4,333.2,339.6,339.0,319.9,325.0,291.8,274.6,275.3,278.5,278.5,274.6,265.1,256.8,242.1,228.1,225.6,232.6,219.8,202.6,208.4,169.5,217.9,174.6,209.0,205.2,224.9,176.5,293.1,318.0,398.2,364.5,409.1,432.0,474.1,549.9,590.0,618.1,616.2,713.0,788.8,908.0,1008.7,1089.6,1134.8,1131.0,1265.5,1412.6,1413.3,1491.0,1652.2,1970.8,1970.2,1929.4,1898.8,1931.3,2165.2,2188.7,2079.1,2075.3,1981.6,2060.7,2072.1,1937.0,1865.7,1749.7,1731.2,1666.2,1462.3,1443.9,1292.9,1173.1,1076.8,1072.4,1041.2,983.8,955.8,934.8,931.6,952.0,950.7,885.7,838.5,794.6,794.6,806.7,822.6,822.0,864.0,928.4,986.4,1074.3,1096.0,1137.4,1134.2,1203.0,1287.1,1383.3,1370.0,1411.4,1416.5,1415.8,1418.4,1361.0,1326.6,1280.1,1297.9,1297.3,1297.3
SK Hof,9464,135.0,150.5,148.3,161.6,152.7,117.3,90.8,93.0,79.7,79.7,64.2,70.8,68.6,59.8,55.3,48.7,55.3,62.0,73.1,73.1,77.5,73.1,68.6,55.3,66.4,50.9,59.8,50.9,53.1,48.7,44.3,44.3,39.8,28.8,46.5,44.3,46.5,46.5,44.3,53.1,68.6,64.2,75.3,70.8,79.7,90.8,90.8,86.3,77.5,75.3,73.1,84.1,86.3,84.1,88.5,135.0,146.1,170.5,183.7,188.2,223.6,285.6,278.9,283.4,307.7,314.3,336.5,336.5,298.9,298.9,323.2,265.6,329.8,309.9,290.0,303.3,312.1,285.6,298.9,345.3,343.1,371.9,369.7,374.1,396.3,418.4,338.7,352.0,334.3,369.7,376.3,352.0,340.9,358.6,363.0,389.6,347.6,343.1,365.3,321.0,347.6,327.6,329.8,327.6,292.2,281.1,292.2,236.9,239.1,208.1,241.3,252.4,250.1,236.9,241.3,256.8,241.3,234.7,194.8,221.4,210.3,252.4,285.6,290.0,298.9,376.3,371.9,427.2,436.1,425.0,504.7,513.6,445.0,467.1,546.8,560.1,566.7,626.5,704.0,803.6,925.3,987.3,1007.2,1024.9,927.5,956.3,1011.7,929.8,927.5,994.0,1091.4,1171.1,1179.9,1133.4,1286.2,1062.6,1140.1,967.4,1277.3,1447.8,1640.4,1662.5,1755.5,1775.4,1748.8,2007.8,1932.6,1810.8,1642.6,1700.1,1824.1,1985.7,1704.6,1992.3,2145.1,2300.0,2162.8,1859.5,1837.4,2147.3,2089.7,2058.8,2382.0,2474.9,2641.0,2736.1,2563.5,2322.2,2457.2,2255.8,2404.1,2784.8,2714.0,2939.8,3015.1,2913.2,3176.7,3159.0,2931.0
SK Ingolstadt,9161,67.2,89.1,100.0,105.9,97.1,84.0,83.2,84.0,91.3,104.4,121.9,83.2,80.3,78.1,54.8,80.3,84.7,88.4,68.6,72.3,73.7,74.5,78.1,82.5,81.8,77.4,78.1,87.6,92.7,89.1,98.6,93.5,73.0,83.2,81.1,78.9,85.4,100.0,105.9,119.7,130.7,153.3,167.9,192.0,200.1,199.3,191.3,224.9,229.3,224.2,244.6,270.9,261.4,192.0,192.8,262.1,274.5,287.0,325.7,333.0,397.2,401.6,448.3,444.7,484.8,538.9,530.1,552.0,555.7,588.5,512.6,633.1,644.8,600.2,553.5,582.7,579.0,572.5,649.1,676.1,646.2,635.3,555.7,595.1,582.0,600.2,610.4,594.4,557.9,511.9,485.6,461.5,471.0,489.2,435.9,387.7,318.4,364.4,358.5,343.9,327.1,318.4,284.0,260.7,247.5,245.3,238.8,253.4,248.3,195.7,221.2,227.8,241.7,230.7,229.3,246.1,269.4,287.7,317.6,319.1,364.4,427.9,423.5,498.7,585.6,685.6,774.0,820.7,866.0,828.8,803.9,909.1,1023.0,1083.6,1241.3,1373.5,1271.2,1199.0,1382.2,1516.6,1619.5,1940.8,2073.0,2020.4,1878.8,1947.4,2113.1,2054.7,2204.4,2547.6,2491.4,2236.6,2147.5,2075.9,2050.4,2173.0,2297.2,2188.4,1859.8,1943.0,1956.2,1854.7,1905.0,1924.8,1926.2,1762.7,1663.4,1806.5,1763.4,1543.6,1422.4,1686.0,1204.1,1393.9,1410.7,1091.6,912.0,820.7,1466.9,1418.7,1500.5,1634.1,1743.7,1783.1,1812.3,1833.5,1640.7,1742.9,1790.4,1728.3,1739.3,1783.1,1677.2,1544.3,1652.4,1575.0,1593.3,1695.5,1774.3
SK Jena,16053,56.9,57.8,60.5,56.9,48.8,48.8,54.2,56.0,58.7,58.7,56.0,48.8,47.0,46.1,52.4,59.6,60.5,65.0,69.5,75.0,64.1,66.8,67.7,65.9,61.4,52.4,65.0,58.7,61.4,64.1,61.4,62.3,64.1,57.8,68.6,73.2,79.5,94.8,93.0,103.9,130.0,153.5,163.5,166.2,167.1,165.3,162.6,180.6,189.6,205.0,199.6,194.2,207.7,241.1,261.9,280.0,270.9,305.2,317.9,300.7,320.6,302.5,352.2,379.3,381.1,376.6,369.4,382.9,395.6,386.5,397.4,421.7,523.8,531.0,543.7,574.4,643.0,684.5,706.2,633.1,662.0,700.8,758.6,738.7,753.2,783.9,782.1,735.1,757.7,805.6,719.8,708.9,708.9,736.0,728.8,711.6,606.0,690.9,678.2,688.2,708.9,645.7,652.9,623.1,594.2,571.7,474.1,462.4,464.2,401.9,405.5,391.0,317.0,303.4,307.1,292.6,272.7,272.7,306.1,295.3,335.0,328.7,325.1,261.0,307.1,280.0,311.6,265.5,333.2,317.9,340.5,400.1,447.9,457.9,474.1,420.8,447.0,453.4,517.5,511.1,513.0,575.3,606.0,624.0,647.5,725.2,792.9,839.9,734.2,873.3,867.0,885.0,940.1,920.2,785.7,988.0,998.8,1017.8,986.2,923.0,1001.5,1010.6,1038.6,1022.3,1082.8,1155.1,1207.4,1214.7,1329.3,1448.6,1442.2,1491.0,1587.6,1652.7,1672.5,1666.2,1775.5,1831.5,1879.3,1808.0,1947.1,2128.6,2330.9,2405.8,2400.4,2286.6,2254.1,2442.0,2261.3,2320.0,2418.5,2832.1,2828.5,3061.5,2902.5,3212.3,3306.2,3281.8,3016.3
